x,y,label 
0.0,-0.0,0
0.01,0.0024287804776650444,0
0.02,0.0015287693212583044,0
0.03,0.00486975317814771,0
0.04,-0.0035808001591941464,0
0.05,-0.005981896110949994,0
0.06,0.024750606189125782,0
0.07,0.016741385741814593,0
0.08,0.033006746815106056,0
0.09,0.03233112733066401,0
0.1,0.014633951481713581,0
0.11,-0.012418166704507778,0
0.12,-0.052117057642124244,0
0.13,-0.053615984992641454,0
0.14,-0.004102699042758698,0
0.15,-0.04763669929674591,0
0.16,-0.04754382744099858,0
0.17,0.047244433120235865,0
0.18,0.04406006629826064,0
0.19,-0.07382243681350792,0
0.2,0.08078429545595106,0
0.21,-0.08558749077749234,0
0.22,0.01706610222179558,0
0.23,0.08830702653073208,0
0.24,0.012573407954915803,0
0.25,0.06550220644330991,0
0.26,0.045194185926599635,0
0.27,0.040171769430827606,0
0.28,0.05883736776201776,0
0.29,-0.14003590741168354,0
0.3,-0.10406481734191181,0
0.31,-0.14229694195334827,0
0.32,0.08175122725403164,0
0.33,-0.10887445506099619,0
0.34,0.05273230297555756,0
0.35,0.08912353175193222,0
0.36,0.08028059236205093,0
0.37,-0.19622631687319744,0
0.38,-0.122513293084342,0
0.39,-0.04479200116006282,0
0.4,-0.07674321584225262,0
0.41,-0.24063030420099799,0
0.42,-0.10097418958433646,0
0.43,-0.16664348308113158,0
0.44,0.02419463859616816,0
0.45,0.020260374909363277,0
0.46,-0.08418460724419742,0
0.47,-0.2782664387048036,0
0.48,-0.3201842126927479,0
0.49,-0.04955571299883178,0
0.5,-0.1664301995338472,0
0.51,-0.08218736958798503,0
0.52,-0.09055465846860002,0
0.53,0.07605534565383501,0
0.54,-0.25042340467697155,0
0.55,-0.43058403597567807,0
0.56,-0.05230585292886576,0
0.57,-0.46375391949129746,0
0.58,0.0780032829413545,0
0.59,-0.12174697430298838,0
0.6,-0.3293783196973667,0
0.61,-0.3329133158730991,0
0.62,-0.18330628572992266,0
0.63,-0.041460590449593354,0
0.64,-0.41160263394724594,0
0.65,-0.4400568535646229,0
0.66,-0.4615085458034419,0
0.67,-0.18097984086500862,0
0.68,-0.4921610102665269,0
0.69,-0.20593987200547847,0
0.7,-0.03855468336585699,0
0.71,-0.5018722956715975,0
0.72,-0.11139242243133168,0
0.73,-0.666750679255955,0
0.74,-0.21513985341589226,0
0.75,-0.6984251362346431,0
0.76,-0.3802225584315194,0
0.77,-0.7688255315576963,0
0.78,-0.5954480308774627,0
0.79,-0.11808218816319149,0
0.8,-0.5585214816965898,0
0.81,-0.3187722139766794,0
0.82,-0.2666474424031734,0
0.83,-0.9669776698882748,0
0.84,-0.7781739686389451,0
0.85,-0.9120894527605798,0
0.86,-0.4156171292666083,0
0.87,-0.8985708589024236,0
0.88,-0.4150914364201141,0
0.89,-0.3705372728324169,0
0.9,-0.5626216218957967,0
0.91,-0.8761592707242476,0
0.92,-0.8962978910869619,0
0.93,-0.8112673314198644,0
0.94,-0.6650975105984874,0
0.95,-0.5021574590824913,0
0.96,-0.9250882908061607,0
0.97,-0.8865622554040241,0
0.98,-1.1818745788318745,0
0.99,-1.4559735128311284,0
1.0,-0.6065834859587659,0
1.01,-1.4094585814192069,0
1.02,-1.5165227070755696,0
1.03,-1.3755971694794507,0
1.04,-1.105293031927368,0
1.05,-0.9050398306414493,0
1.06,-1.1655960732025563,0
1.07,-0.9231299594859184,0
1.08,-0.8530454276956945,0
1.09,-1.107283505919882,0
1.1,-0.8708374382825798,0
1.11,-1.5789413797986454,0
1.12,-1.7373540230296234,0
1.13,-1.6045301576361457,0
1.14,-1.501406474559586,0
1.15,-1.0504241592720907,0
1.16,-2.044457030077573,0
1.17,-1.8804112081421862,0
1.18,-1.600410309325271,0
1.19,-1.6169463704800873,0
1.2,-1.3954008245620995,0
1.21,-1.3089285517170937,0
1.22,-1.3069367153528009,0
1.23,-2.4400593342074384,0
1.24,-2.0051273288954645,0
1.25,-1.529819779257536,0
1.26,-2.517926297927409,0
1.27,-2.3148171113910876,0
1.28,-1.4610795242642989,0
1.29,-2.4008707347188323,0
1.3,-2.7710655309344876,0
1.31,-2.471696097185665,0
1.32,-2.6468520573123864,0
1.33,-2.9749496174784795,0
1.34,-2.8979384587744046,0
1.35,-2.196571968247231,0
1.36,-2.6953893177091905,0
1.37,-3.1387370765653393,0
1.38,-2.663443432828882,0
1.39,-2.5660162262405297,0
1.4,-2.132668306813232,0
1.41,-2.224911044091642,0
1.42,-3.100459137249629,0
1.43,-3.364314491754756,0
1.44,-2.5742003067149253,0
1.45,-2.557416506125249,0
1.46,-2.6154335220237237,0
1.47,-3.69458651107141,0
1.48,-3.0905428990659987,0
1.49,-3.7179075711998473,0
1.5,-3.768470346529937,0
1.51,-3.6666985270522585,0
1.52,-3.69183218780831,0
1.53,-3.807991682958617,0
1.54,-3.708098761512086,0
1.55,-4.276809189736281,0
1.56,-3.6826241426097734,0
1.57,-3.094035571772063,0
1.58,-4.593733315350706,0
1.59,-3.5748727147326695,0
1.6,-3.894574307697715,0
1.61,-3.3765061766050684,0
1.62,-3.935366261354715,0
1.63,-4.40474459905046,0
1.64,-4.963187103031144,0
1.65,-4.461621894969093,0
1.66,-3.8677767508089076,0
1.67,-4.454190612231759,0
1.68,-5.543526093868375,0
1.69,-4.50697510943298,0
1.7,-4.742997417128925,0
1.71,-5.456592586399447,0
1.72,-4.285902137658003,0
1.73,-5.732260280906743,0
1.74,-5.297444458676517,0
1.75,-5.179972253097363,0
1.76,-4.66363832824256,0
1.77,-4.778800203116621,0
1.78,-5.596494821677373,0
1.79,-6.629618511842159,0
1.8,-5.948556398078736,0
1.81,-5.7147076943333674,0
1.82,-5.766881211208243,0
1.83,-5.655603728765259,0
1.84,-6.313335263764301,0
1.85,-6.153750319235379,0
1.86,-6.56357509835917,0
1.87,-6.3233103107268995,0
1.88,-6.310858664475049,0
1.89,-7.4228020639378025,0
1.9,-6.970337513633101,0
1.91,-7.40126067443092,0
1.92,-7.826596937765902,0
1.93,-7.262668828793782,0
1.94,-8.009337871562327,0
1.95,-7.133552311734931,0
1.96,-7.208456826677683,0
1.97,-7.717561920915876,0
1.98,-7.022672964647085,0
1.99,-8.721541658772521,0
2.0,-8.636881928664632,0
2.01,-7.647068794762168,0
2.02,-7.5947608640740505,0
2.03,-7.518602481888633,0
2.04,-8.933798408343234,0
2.05,-9.46862992895882,0
2.06,-9.716937744881827,0
2.07,-9.650297956203874,0
2.08,-8.509770384821284,0
2.09,-8.09577719559535,0
2.1,-9.341650440390467,0
2.11,-9.797658636380897,0
2.12,-8.601963543560233,0
2.13,-8.615220564747547,0
2.14,-10.300912538496593,0
2.15,-9.960945493392536,0
2.16,-10.14870718460437,0
2.17,-10.651788957762301,0
2.18,-11.37967840967107,0
2.19,-11.542800240059252,0
2.2,-10.367100756014606,0
2.21,-10.911733572759392,0
2.22,-10.94698683947354,0
2.23,-10.560545465411037,0
2.24,-11.615725068934083,0
2.25,-11.50949285285473,0
2.26,-11.243633944365849,0
2.27,-10.705091642703113,0
2.28,-11.38259498541286,0
2.29,-10.89819437287292,0
2.3,-11.592254734287453,0
2.31,-13.105939330555,0
2.32,-12.98652773998175,0
2.33,-12.487428953380855,0
2.34,-11.861521324284814,0
2.35,-12.425633043227771,0
2.36,-12.565598139991165,0
2.37,-12.130682311291313,0
2.38,-13.268209242708567,0
2.39,-12.7702246411982,0
2.4,-13.336812550859626,0
2.41,-13.806740482291978,0
2.42,-14.446632740105802,0
2.43,-13.242345267097365,0
2.44,-15.214051549698585,0
2.45,-14.79190796247609,0
2.46,-15.841914196427355,0
2.47,-14.297857709694886,0
2.48,-15.734213288925817,0
2.49,-16.290479496134406,0
2.5,-15.279226824143528,0
2.51,-16.6932742273974,0
2.52,-14.931831115878516,0
2.53,-15.707100745289852,0
2.54,-16.333033558652623,0
2.55,-17.266669322320357,0
2.56,-16.427741810217125,0
2.57,-17.553928938254984,0
2.58,-17.595941673361757,0
2.59,-16.757202020649615,0
2.6,-17.945143676933455,0
2.61,-18.645367752287722,0
2.62,-17.853598805362125,0
2.63,-19.185079491170463,0
2.64,-18.60410975831311,0
2.65,-18.7311012248082,0
2.66,-18.417573628274393,0
2.67,-19.472349308159618,0
2.68,-19.380805803849125,0
2.69,-18.491685018550154,0
2.7,-20.43989352309527,0
2.71,-19.44279746878289,0
2.72,-20.437809323553065,0
2.73,-20.987575321231912,0
2.74,-20.358350204733274,0
