Date,Open,High,Low,Close,Volume,Adj Close
2011-05-25,12355.45,12462.28,12271.90,12394.66,4109670000,12394.66
2011-05-24,12381.87,12465.80,12315.42,12356.21,3846250000,12356.21
2011-05-23,12511.29,12511.29,12292.49,12381.26,3255580000,12381.26
2011-05-20,12604.64,12630.11,12453.96,12512.04,4066020000,12512.04
2011-05-19,12561.46,12673.78,12506.67,12605.32,3626110000,12605.32
2011-05-18,12471.78,12595.60,12402.15,12560.18,3922030000,12560.18
2011-05-17,12541.18,12591.51,12342.29,12479.58,4053970000,12479.58
2011-05-16,12594.84,12676.66,12482.07,12548.37,3846250000,12548.37
2011-05-13,12695.65,12749.08,12522.79,12595.75,3426660000,12595.75
2011-05-12,12629.81,12746.09,12497.97,12695.92,3777210000,12695.92
2011-05-11,12745.87,12748.21,12577.21,12630.03,3846250000,12630.03
2011-05-10,12685.13,12806.60,12665.45,12760.36,4223740000,12760.36
2011-05-09,12637.83,12751.35,12591.59,12684.68,4265250000,12684.68
2011-05-06,12580.76,12788.78,12580.76,12638.74,4223740000,12638.74
2011-05-05,12723.65,12757.26,12504.85,12584.17,3846250000,12584.17
2011-05-04,12806.29,12852.81,12632.46,12723.58,4223740000,12723.58
2011-05-03,12806.38,12891.44,12700.72,12807.51,4223740000,12807.51
2011-05-02,12810.16,12928.45,12754.53,12807.36,3846250000,12807.36
2011-04-29,12763.39,12885.92,12711.85,12810.54,3479070000,12810.54
2011-04-28,12689.75,12807.36,12617.43,12763.31,4036820000,12763.31
2011-04-27,12592.23,12729.41,12518.55,12690.96,4051570000,12690.96
2011-04-26,12480.86,12652.17,12448.32,12595.37,3908060000,12595.37
2011-04-25,12505.99,12547.50,12401.02,12479.88,2142130000,12479.88
2011-04-21,12453.62,12563.89,12377.82,12505.99,3587240000,12505.99
2011-04-20,12279.17,12530.96,12279.17,12453.54,4236280000,12453.54
2011-04-19,12201.44,12320.53,12163.29,12266.75,3886300000,12266.75
2011-04-18,12339.71,12339.79,12093.89,12201.59,4223740000,12201.59
2011-04-15,12285.45,12402.61,12238.34,12341.83,4223740000,12341.83
2011-04-14,12270.24,12332.71,12137.98,12285.15,3872630000,12285.15
2011-04-13,12263.73,12372.94,12203.63,12270.99,3850860000,12270.99
2011-04-12,12381.04,12381.04,12185.09,12263.58,4275490000,12263.58
2011-04-11,12380.43,12476.93,12319.35,12381.11,3478970000,12381.11
2011-04-08,12409.80,12475.03,12310.46,12380.05,3582810000,12380.05
2011-04-07,12426.45,12471.70,12307.62,12409.49,4005600000,12409.49
2011-04-06,12386.66,12499.03,12347.13,12426.75,4223740000,12426.75
2011-04-05,12402.08,12474.50,12320.34,12393.90,3852280000,12393.90
2011-04-04,12374.60,12445.75,12331.35,12400.03,4223740000,12400.03
2011-04-01,12321.02,12454.52,12301.11,12376.72,4223740000,12376.72
